Name,Symbol,Price,Day,Screen,Probability Up,Rating,Test Acc,Baseline,Model,Risk,Reward Risk,To Support,To Resistance,Buy Score
Arkade Developers Limited,ARKADE.NS,122.02999877929688,-0.00740201434877219,SELL,0.43482353069513174,Sell,0.7108433734939759,0.6385542168674698,Global,7.5,2.0,0.10835604423718426,0.04675081445647433,54.296117697600906
Ujaas Energy Limited,UEL.NS,206.63999938964844,0.049999980616376005,BUY,0.5523604815727282,Neutral,0.8073089700996677,0.717607973421927,Global,9.6,2.0,0.31534049243441875,0.06465350682255577,54.15135741196974
Jagran Prakashan Limited,JAGRAN.NS,62.09000015258789,0.0012901440609602854,SELL,0.44548869938954216,Sell,0.6201298701298701,0.5974025974025974,Global,3.6,4.0217536632842945,0.005849873043073384,0.0009256101664716354,54.05084600639812
Indraprastha Medical Corporation Limited,INDRAMEDCO.NS,355.0,-0.01388888888888884,SELL,0.4484083282557152,Sell,0.6590909090909091,0.6233766233766234,Global,5.9,9.82273510711746,0.010820010423942428,0.1537323857696964,54.004153726228175
Mamata Machinery Limited,MAMATA.NS,407.8500061035156,-0.0039076958256545336,SELL,0.41700162970627025,Sell,0.6527777777777778,0.5833333333333333,Global,6.8,2.0,0.007719663582543612,0.03335540539911874,53.89888449440054
Can Fin Homes Limited,CANFINHOME.NS,779.75,-0.0031322068125752,SELL,0.44935769546995014,Sell,0.5681818181818182,0.538961038961039,Global,4.4,3.9088364599978846,0.01927876360615155,0.09310673367866307,53.79383897489762
Mcleod Russel India Limited,MCLEODRUSS.NS,43.279998779296875,-0.017480146903517957,HOLD,0.4808233126565263,Neutral,0.6474358974358975,0.592948717948718,Global,8.6,2.836399095653261,0.03689499374468275,0.1146026580190791,53.78089721435622
Mahindra Lifespace Developers Limited,MAHLIFE.NS,353.04998779296875,-0.018351192035374386,SELL,0.44764120284475767,Sell,0.5770491803278689,0.5442622950819672,Global,5.5,4.997677608540834,0.01207272798207093,0.018374214284201607,53.67332685505799
Thermax Limited,THERMAX.NS,3682.0,0.010040077532431635,SELL,0.4411231033808511,Sell,0.6013071895424836,0.5620915032679739,Global,5.4,4.541197929311399,0.03238469087340534,0.16444575581475074,53.56455825549793
Sahyadri Industries Limited,SAHYADRI.NS,390.8999938964844,0.01969476372182455,SELL,0.44893141329039093,Sell,0.6052631578947368,0.5197368421052632,Global,8.5,2.0,0.176346699537121,0.01925123503507109,53.556169678405915
